Longitude,Latitude,Depth_km
-123.0327258,46.48120255,-40
-123.0439938,46.3986687,-40
-123.0570157,46.31639281,-40
-123.0699876,46.23410905,-40
-123.0829145,46.15181819,-40
-123.0957884,46.06951903,-40
-123.1086181,45.98721296,-40
-123.1220318,45.9050033,-40
-123.1363188,45.82293764,-40
-123.1505645,45.74086483,-40
-123.1647603,45.65878334,-40
-123.178907,45.57669341,-40
-123.1930044,45.49459496,-40
-123.2070442,45.41248668,-40
-123.221036,45.33037018,-40
-123.2334196,45.24800689,-40
-123.2446855,45.16547224,-40
-123.2558981,45.08293033,-40
-123.2670699,45.00038289,-40
-123.2782089,44.91783102,-40
-123.2893005,44.83527275,-40
-123.2964036,44.75230793,-40
-123.3021781,44.66920832,-40
-123.3079262,44.58610689,-40
-123.3136482,44.50300364,-40
-123.3189218,44.41987132,-40
-123.3239608,44.33672387,-40
-123.3250961,44.25344001,-40
-123.3258613,44.17014353,-40
-123.3266145,44.08684693,-40
-123.3273556,44.00355023,-40
-123.3201375,43.92059722,-40
-123.3122306,43.83767333,-40
-123.3043358,43.7547483,-40
-123.2965211,43.67181573,-40
-123.2888321,43.58887135,-40
-123.2811577,43.50592562,-40
-123.2734915,43.42297914,-40
-123.2658367,43.3400316,-40
-123.2581954,43.25708282,-40
-123.2511817,43.17408445,-40
-123.2457089,43.09096442,-40
-123.2402425,43.00784398,-40
-123.2347804,42.92472325,-40
-123.2293226,42.84160224,-40
-123.2241819,42.75846973,-40
-123.2236606,42.67517136,-40
-123.223136,42.59187301,-40
-123.2225987,42.50857474,-40
-123.2220557,42.42527651,-40
-123.2215024,42.34197835,-40
-123.2209413,42.25868024,-40
-123.2203721,42.17538219,-40
-123.2204171,42.09208347,-40
-123.2208,42.00878435,-40
-123.221172,41.92548518,-40
-123.221533,41.84218596,-40
-123.2183331,41.75916193,-40
-123.205167,41.676909,-40
-123.1920379,41.59465016,-40
-123.1715322,41.5139619,-40
-123.1500483,41.43348003,-40
-123.1261617,41.35378695,-40
-123.0958919,41.27618137,-40
-123.0656781,41.19855394,-40
-123.0366507,41.12049534,-40
-123.0101212,41.04153285,-40
-122.9836517,40.9625502,-40
-122.9572322,40.88355087,-40
-122.9337639,40.80369271,-40
-122.9137251,40.7228389,-40
-122.8937265,40.64197516,-40
-122.8803075,40.5599149,-40
-122.8705757,40.47718533,-40
-122.8627637,40.39439096,-40
-122.8669559,40.31119651,-40
-122.8801227,40.23012024,-40
-122.9134963,40.15379796,-40
-122.9485605,40.07847751,-40
-122.9989171,40.01212165,-40
-123.0510087,39.94725805,-40
-123.1089044,39.8873667,-40
-123.1667259,39.82740374,-40
-123.2244794,39.76737521,-40
-125.801218,51.03494606,-60
-125.7480347,50.97083343,-60
-125.6948515,50.90672079,-60
-125.6416746,50.84260287,-60
-125.5887825,50.77824977,-60
-125.5358905,50.71389667,-60
-125.4830132,50.6495315,-60
-125.4304055,50.58494577,-60
-125.3777977,50.52036005,-60
-125.3252151,50.45575397,-60
-125.2728876,50.39094099,-60
-125.2205601,50.32612801,-60
-125.1676562,50.26181369,-60
-125.1110662,50.20068709,-60
-125.0545527,50.13948978,-60
-124.9977413,50.07862893,-60
-124.9323214,50.02706227,-60
-124.8669712,49.97540718,-60
-124.8016936,49.92366047,-60
-124.7341777,49.87509269,-60
-124.6635434,49.83093761,-60
-124.5929673,49.78668939,-60
-124.5205543,49.74594376,-60
-124.4441112,49.71284772,-60
-124.367704,49.67966903,-60
-124.2913316,49.64641031,-60
-124.2135672,49.61688926,-60
-124.1340734,49.59199717,-60
-124.0546018,49.567034,-60
-123.9751542,49.54199487,-60
-123.8941488,49.52270917,-60
-123.8129338,49.50418863,-60
-123.7325731,49.48265303,-60
-123.6537673,49.45566149,-60
-123.5751067,49.42827477,-60
-123.4977817,49.39729535,-60
-123.4204882,49.3662372,-60
-123.3481956,49.32486172,-60
-123.2759792,49.28334437,-60
-123.2038113,49.24174289,-60
-123.1331162,49.19801752,-60
-123.0690863,49.14473467,-60
-123.0051259,49.09136842,-60
-122.9412159,49.03794185,-60
-122.877406,48.98439574,-60
-122.8136564,48.93077788,-60
-122.7499862,48.87706739,-60
-122.6888668,48.82046959,-60
-122.6278147,48.76379928,-60
-122.5668288,48.70705773,-60
-122.505919,48.65023442,-60
-122.445104,48.59330972,-60
-122.3856988,48.5349443,-60
-122.3275345,48.47531369,-60
-122.2694506,48.41560483,-60
-122.2164901,48.35139109,-60
-122.1647847,48.28608069,-60
-122.116957,48.21839088,-60
-122.0824728,48.1425639,-60
-122.0480739,48.06669823,-60
-122.0232423,47.98785549,-60
-122.0086516,47.90584328,-60
-121.9962443,47.82357824,-60
-121.9917955,47.74039712,-60
-121.9843052,47.65757961,-60
-121.969057,47.57568712,-60
-121.9538547,47.49378609,-60
-121.9524648,47.4107431,-60
-121.9661689,47.32889348,-60
-121.997673,47.25178073,-60
-122.0360543,47.17819659,-60
-122.0802044,47.10755908,-60
-122.1242691,47.0368683,-60
-122.1511718,46.95820198,-60
-122.1767005,46.87891027,-60
-122.1867026,46.79630782,-60
-122.192457,46.71335809,-60
-122.1904774,46.63008162,-60
-122.1884978,46.54680514,-60
-122.1865063,46.46352895,-60
-122.1845114,46.38025284,-60
-122.1825144,46.29697678,-60
-122.1805113,46.21370087,-60
-122.1785082,46.13042496,-60
-122.1764881,46.04714946,-60
-122.1744624,45.96387409,-60
-122.1741581,45.88063094,-60
-122.1792795,45.79748853,-60
-122.1843753,45.71434454,-60
-122.1894531,45.63119945,-60
-122.2015006,45.54877796,-60
-122.2135791,45.46635831,-60
-122.2256135,45.3839322,-60
-122.2375921,45.30149796,-60
-122.2520519,45.21949638,-60
-122.2686311,45.13786295,-60
-122.2851458,45.05621642,-60
-122.3016048,44.97455865,-60
-122.3180114,44.89289034,-60
-122.3353403,44.81141412,-60
-122.3528555,44.72997638,-60
-122.370312,44.64852603,-60
-122.3877086,44.56706285,-60
-122.4021139,44.48505632,-60
-122.4144464,44.40267429,-60
-122.4267404,44.3202865,-60
-122.4389797,44.23789057,-60
-122.4470278,44.15508919,-60
-122.4507759,44.07187356,-60
-122.4545103,43.98865731,-60
-122.4582124,43.90543962,-60
-122.4592383,43.82217327,-60
-122.4585532,43.73887609,-60
-122.4578621,43.65557895,-60
-122.4571672,43.57228185,-60
-122.4564588,43.48898486,-60
-122.4557378,43.40568799,-60
-122.455003,43.32239123,-60
-122.4559374,43.23910171,-60
-122.4573831,43.15581426,-60
-122.4588068,43.07252643,-60
-122.4602099,42.98923824,-60
-122.4616065,42.90594995,-60
-122.4638984,42.82271382,-60
-122.4721541,42.73982394,-60
-122.4803839,42.65693148,-60
-122.4885841,42.57403609,-60
-122.4967401,42.49113633,-60
-122.5048775,42.40823475,-60
-122.5129683,42.3253286,-60
-122.5196967,42.2423129,-60
-122.5249475,42.15917856,-60
-122.5301733,42.07604264,-60
-122.5353742,41.99290515,-60
-122.5405448,41.90976579,-60
-122.5456522,41.82662251,-60
-122.5507353,41.74347775,-60
-122.5557942,41.66033151,-60
-122.5565231,41.57710052,-60
-122.5547092,41.49382027,-60
-122.5528892,41.41054015,-60
-122.5503654,41.32727886,-60
-122.5477288,41.24402059,-60
-122.5425849,41.16094207,-60
-122.5333168,41.07815926,-60
-122.5240625,40.99537493,-60
-122.5118566,40.91301496,-60
-122.4974415,40.83097171,-60
-122.4830572,40.74892304,-60
-122.4686857,40.66687215,-60
-122.4549709,40.5847098,-60
-122.4414812,40.50250932,-60
-122.4280128,40.42030536,-60
-122.4145654,40.33809794,-60
-122.4078537,40.25530585,-60
-122.4074756,40.17206342,-60
-122.4240167,40.09042226,-60
-122.4407229,40.00883725,-60
-122.4730741,39.93207599,-60
-122.5078424,39.85661145,-60
